snapshot_date,period_month,item_key_sk_1,item_key_sk_2,item_name_preferred_1,item_name_preferred_2,item_category_1,item_category_2,orders_together,support,confidence_1_to_2,confidence_2_to_1,lift
2026-03-13,2023-01-01,0484ae368e38d5fc90f25fa2e575e9b5,6ff49dc4ff8f064bf60a6881a23b9afb,"Fuego guacamole dip, 200 ml","Chio Tortillas Original Salted, 110 g","Cheese Crackers, Breadsticks & Dipping",Crisp & Snacks,5,9.375585974123383E-4,0.0641025641025641,0.049019607843137254,3.351558572146807
2026-03-13,2023-01-01,0484ae368e38d5fc90f25fa2e575e9b5,f1fb9bf890e7a8f8dd88a276a1ef6f76,"Fuego guacamole dip, 200 ml","Fuego salsa dip, mild, 200 ml","Cheese Crackers, Breadsticks & Dipping","Cheese Crackers, Breadsticks & Dipping",6,0.001125070316894806,0.07692307692307693,0.014634146341463415,1.000562851782364
2026-03-13,2023-01-01,0484ae368e38d5fc90f25fa2e575e9b5,f5bc16319f5cd56166c6ed4f5eb1b433,"Fuego guacamole dip, 200 ml","Fuego salsa dip, hot, 200 ml","Cheese Crackers, Breadsticks & Dipping","Cheese Crackers, Breadsticks & Dipping",5,9.375585974123383E-4,0.0641025641025641,0.045871559633027525,3.1363208656786634
2026-03-13,2023-01-01,0716b5a0713c80d12e3b035767d1983c,a3806fd23a15f2b63d29611829f45705,"Storck Super Dickmann’s Chocolate Kisses, (9x30 g), 270 g","Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Other Confectionary,Other Confectionary,12,0.002250140633789612,0.5454545454545454,0.007067137809187279,1.7131384516543526
2026-03-13,2023-01-01,0b28666c3577762b4d168041413e6f7e,1adb2a18673efe5159c525c4bfb4ab9f,"Doritos Cheese Nachos, 110 g","Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",Crisp & Snacks,Crisp & Snacks,27,0.005062816426026627,0.313953488372093,0.015185601799775027,0.9416838883511655
2026-03-13,2023-01-01,0b28666c3577762b4d168041413e6f7e,23e3075fdbee7963c3029fa90c283c69,"Doritos Cheese Nachos, 110 g","Lorenz Naturals Rosemary Crisps, 95 g",Crisp & Snacks,Crisp & Snacks,6,0.001125070316894806,0.06976744186046512,0.061855670103092786,3.8357707983696954
2026-03-13,2023-01-01,0b28666c3577762b4d168041413e6f7e,50ab7614f0d675a1ce5e3585aaddf68e,"Doritos Cheese Nachos, 110 g","Lay's Crips herb butter flavour, 150 g",Crisp & Snacks,Crisp & Snacks,5,9.375585974123383E-4,0.05813953488372093,0.03968253968253968,2.46077888519749
2026-03-13,2023-01-01,0b28666c3577762b4d168041413e6f7e,f1fb9bf890e7a8f8dd88a276a1ef6f76,"Doritos Cheese Nachos, 110 g","Fuego salsa dip, mild, 200 ml",Crisp & Snacks,"Cheese Crackers, Breadsticks & Dipping",9,0.001687605475342209,0.10465116279069768,0.02195121951219512,1.3612308564946114
2026-03-13,2023-01-01,0eb337e264e5ca131772b02cb810f955,a3806fd23a15f2b63d29611829f45705,"Storck Mini Dickmann’s Chocolate Trio, (24 units), 200 g","Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Other Confectionary,Other Confectionary,25,0.004687792987061692,0.4166666666666667,0.014723203769140165,1.308647428347075
2026-03-13,2023-01-01,0eb337e264e5ca131772b02cb810f955,b290e64770d84b9a459cf67d1ec660dc,"Storck Mini Dickmann’s Chocolate Trio, (24 units), 200 g","Cadbury Milk Caramel Chocolate, 180 g",Other Confectionary,Chocolate,11,0.0020626289143071443,0.18333333333333332,0.21153846153846154,18.80224358974359
2026-03-13,2023-01-01,1adb2a18673efe5159c525c4bfb4ab9f,1fd45847dbb01b01fd314a6839c7e058,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g","Takis Fuego, 100 g",Crisp & Snacks,Crisp & Snacks,31,0.005812863303956498,0.017435320584926885,0.3522727272727273,1.0566200531751713
2026-03-13,2023-01-01,1adb2a18673efe5159c525c4bfb4ab9f,23e3075fdbee7963c3029fa90c283c69,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g","Lorenz Naturals Rosemary Crisps, 95 g",Crisp & Snacks,Crisp & Snacks,29,0.005437839864991562,0.016310461192350956,0.29896907216494845,0.8967390674103881
2026-03-13,2023-01-01,1adb2a18673efe5159c525c4bfb4ab9f,327e2ea4fcb825bcaefcd1d4bdb85232,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g","Pringles Sour Cream & Onion Chips, 165 g",Crisp & Snacks,Crisp & Snacks,24,0.004500281267579224,0.013498312710911136,0.2033898305084746,0.6100550990448228
2026-03-13,2023-01-01,1adb2a18673efe5159c525c4bfb4ab9f,32d5bcbac413cdbb8151fab40bccebe2,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g","Lay's Salt & Vinegar Crisps, 150 g",Crisp & Snacks,Crisp & Snacks,27,0.005062816426026627,0.015185601799775027,0.23684210526315788,0.7103931087561424
2026-03-13,2023-01-01,1adb2a18673efe5159c525c4bfb4ab9f,50ab7614f0d675a1ce5e3585aaddf68e,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g","Lay's Crips herb butter flavour, 150 g",Crisp & Snacks,Crisp & Snacks,30,0.00562535158447403,0.01687289088863892,0.23809523809523808,0.7141518024532648
2026-03-13,2023-01-01,1adb2a18673efe5159c525c4bfb4ab9f,6ff49dc4ff8f064bf60a6881a23b9afb,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g","Chio Tortillas Original Salted, 110 g",Crisp & Snacks,Crisp & Snacks,13,0.0024376523532720793,0.007311586051743532,0.12745098039215685,0.382281258960277
2026-03-13,2023-01-01,1adb2a18673efe5159c525c4bfb4ab9f,73564c12b0bb512fd69348d87c81a352,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g","Chio Dip Hot Cheese, 200 ml",Crisp & Snacks,"Cheese Crackers, Breadsticks & Dipping",55,0.010313144571535721,0.03093363329583802,0.5670103092783505,1.700712024399012
2026-03-13,2023-01-01,1adb2a18673efe5159c525c4bfb4ab9f,74644afbb4188e6e950479ca1b0d2b03,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g","Funny-Frisch Kettle Chips Salt & Vinegar, 120 g",Crisp & Snacks,Crisp & Snacks,26,0.004875304706544159,0.014623172103487065,0.28888888888888886,0.8665041869766279
2026-03-13,2023-01-01,1adb2a18673efe5159c525c4bfb4ab9f,9aefdd3b1039342516c1f9a779606b38,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g","Crunchips Cheese & Onion Crisps, 150 g",Crisp & Snacks,Crisp & Snacks,27,0.005062816426026627,0.015185601799775027,0.26732673267326734,0.8018298455267349
2026-03-13,2023-01-01,1adb2a18673efe5159c525c4bfb4ab9f,d904890a3aaf5840a256b291c39263b6,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g","Funny-Frisch Lentil Crisps Paprika Style, 90 g",Crisp & Snacks,Crisp & Snacks,13,0.0024376523532720793,0.007311586051743532,0.22033898305084745,0.6608930239652248
2026-03-13,2023-01-01,1adb2a18673efe5159c525c4bfb4ab9f,dd216534bd149e9779fd414589ac51eb,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",Crunchips Western Style Potato Chips 150 g,Crisp & Snacks,Crisp & Snacks,9,0.001687605475342209,0.005061867266591676,0.2,0.5998875140607424
2026-03-13,2023-01-01,1adb2a18673efe5159c525c4bfb4ab9f,eec50ed4b6588fe68d92b48381c933db,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g","Pom-Bär Original, 75 g",Crisp & Snacks,Crisp & Snacks,12,0.002250140633789612,0.006749156355455568,0.23529411764705882,0.7057500165420498
2026-03-13,2023-01-01,1adb2a18673efe5159c525c4bfb4ab9f,f1fb9bf890e7a8f8dd88a276a1ef6f76,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g","Fuego salsa dip, mild, 200 ml",Crisp & Snacks,"Cheese Crackers, Breadsticks & Dipping",219,0.04106506656666042,0.12317210348706412,0.5341463414634147,1.6021386046256412
2026-03-13,2023-01-01,1adb2a18673efe5159c525c4bfb4ab9f,f2906c6136fdd1fd6fae8b91b649ed8f,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g","Funny-Frisch Riffels Natural, 150 g",Crisp & Snacks,Crisp & Snacks,35,0.006562910181886368,0.01968503937007874,0.4375,1.312253937007874
2026-03-13,2023-01-01,1adb2a18673efe5159c525c4bfb4ab9f,f5bc16319f5cd56166c6ed4f5eb1b433,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g","Fuego salsa dip, hot, 200 ml",Crisp & Snacks,"Cheese Crackers, Breadsticks & Dipping",43,0.008063003937746109,0.024184476940382452,0.3944954128440367,1.1832643625968773
2026-03-13,2023-01-01,1d38bbcd48e773b535e0fcc2fea71a67,a3806fd23a15f2b63d29611829f45705,"Muh Muhs Original cream toffee, 215 g","Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g","Toffee, Fudge & Nougat",Other Confectionary,7,0.0013125820363772737,0.5,0.004122497055359246,1.57037691401649
2026-03-13,2023-01-01,1fd45847dbb01b01fd314a6839c7e058,f1fb9bf890e7a8f8dd88a276a1ef6f76,"Takis Fuego, 100 g","Fuego salsa dip, mild, 200 ml",Crisp & Snacks,"Cheese Crackers, Breadsticks & Dipping",15,0.002812675792237015,0.17045454545454544,0.036585365853658534,2.2171563192904653
2026-03-13,2023-01-01,1fd45847dbb01b01fd314a6839c7e058,f5bc16319f5cd56166c6ed4f5eb1b433,"Takis Fuego, 100 g","Fuego salsa dip, hot, 200 ml",Crisp & Snacks,"Cheese Crackers, Breadsticks & Dipping",7,0.0013125820363772737,0.07954545454545454,0.06422018348623854,3.8918890742285237
2026-03-13,2023-01-01,23e3075fdbee7963c3029fa90c283c69,50ab7614f0d675a1ce5e3585aaddf68e,"Lorenz Naturals Rosemary Crisps, 95 g","Lay's Crips herb butter flavour, 150 g",Crisp & Snacks,Crisp & Snacks,5,9.375585974123383E-4,0.05154639175257732,0.03968253968253968,2.181721485845197
2026-03-13,2023-01-01,23e3075fdbee7963c3029fa90c283c69,74644afbb4188e6e950479ca1b0d2b03,"Lorenz Naturals Rosemary Crisps, 95 g","Funny-Frisch Kettle Chips Salt & Vinegar, 120 g",Crisp & Snacks,Crisp & Snacks,6,0.001125070316894806,0.061855670103092786,0.06666666666666667,3.665292096219931
2026-03-13,2023-01-01,23e3075fdbee7963c3029fa90c283c69,f1fb9bf890e7a8f8dd88a276a1ef6f76,"Lorenz Naturals Rosemary Crisps, 95 g","Fuego salsa dip, mild, 200 ml",Crisp & Snacks,"Cheese Crackers, Breadsticks & Dipping",11,0.0020626289143071443,0.1134020618556701,0.026829268292682926,1.475056575308021
2026-03-13,2023-01-01,327e2ea4fcb825bcaefcd1d4bdb85232,73564c12b0bb512fd69348d87c81a352,"Pringles Sour Cream & Onion Chips, 165 g","Chio Dip Hot Cheese, 200 ml",Crisp & Snacks,"Cheese Crackers, Breadsticks & Dipping",7,0.0013125820363772737,0.059322033898305086,0.07216494845360824,3.261488729687227
2026-03-13,2023-01-01,327e2ea4fcb825bcaefcd1d4bdb85232,f1fb9bf890e7a8f8dd88a276a1ef6f76,"Pringles Sour Cream & Onion Chips, 165 g","Fuego salsa dip, mild, 200 ml",Crisp & Snacks,"Cheese Crackers, Breadsticks & Dipping",10,0.0018751171948246765,0.0847457627118644,0.024390243902439025,1.1023150062009093
2026-03-13,2023-01-01,327e2ea4fcb825bcaefcd1d4bdb85232,f5bc16319f5cd56166c6ed4f5eb1b433,"Pringles Sour Cream & Onion Chips, 165 g","Fuego salsa dip, hot, 200 ml",Crisp & Snacks,"Cheese Crackers, Breadsticks & Dipping",27,0.005062816426026627,0.2288135593220339,0.24770642201834864,11.195070751049604
2026-03-13,2023-01-01,32a879d736368752ae88e5257b80f8ea,a3806fd23a15f2b63d29611829f45705,"Reese’s Peanut Butter Cup Minis, 90 g","Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Chocolate,Other Confectionary,12,0.002250140633789612,0.3076923076923077,0.007067137809187279,0.966385793240917
2026-03-13,2023-01-01,32d5bcbac413cdbb8151fab40bccebe2,73564c12b0bb512fd69348d87c81a352,"Lay's Salt & Vinegar Crisps, 150 g","Chio Dip Hot Cheese, 200 ml",Crisp & Snacks,"Cheese Crackers, Breadsticks & Dipping",5,9.375585974123383E-4,0.043859649122807015,0.05154639175257732,2.4113763790920597
2026-03-13,2023-01-01,32d5bcbac413cdbb8151fab40bccebe2,f1fb9bf890e7a8f8dd88a276a1ef6f76,"Lay's Salt & Vinegar Crisps, 150 g","Fuego salsa dip, mild, 200 ml",Crisp & Snacks,"Cheese Crackers, Breadsticks & Dipping",18,0.003375210950684418,0.15789473684210525,0.04390243902439024,2.053786906290115
2026-03-13,2023-01-01,37165dad9e53f2c73a9d8c56045d5c21,a3806fd23a15f2b63d29611829f45705,"Knoppers Crispy Wafer, (8x25 g), 200 g","Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Chocolate,Other Confectionary,15,0.002812675792237015,0.3125,0.0088339222614841,0.9814855712603062
2026-03-13,2023-01-01,3b3b9a77328c8dde5bc41892d84f9dd3,a3806fd23a15f2b63d29611829f45705,"Ritter Sport Nut Class Whole Nut Chocolate, 100 g","Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Chocolate,Other Confectionary,20,0.003750234389649353,0.29411764705882354,0.011778563015312132,0.923751125892053
2026-03-13,2023-01-01,4accb1b8337e39ab3440ee0ecdb7b895,a3806fd23a15f2b63d29611829f45705,"Ferrero Kinder Riegel Chocolate Bar, (18x21 g), 378 g","Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Chocolate,Other Confectionary,35,0.006562910181886368,0.4666666666666667,0.02061248527679623,1.465685119748724
2026-03-13,2023-01-01,531e57eb628aafffae83de87e8a77259,a3806fd23a15f2b63d29611829f45705,"Veganz Chocolate Cookie, Organic, 150 g","Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Cookies,Other Confectionary,7,0.0013125820363772737,0.2413793103448276,0.004122497055359246,0.7581129929734779
2026-03-13,2023-01-01,6585eca511f9a50564c75a1cdad39f11,8ea000fea777e44213cf112cdba4a9ca,"Ritter Sport Chocolate Wafer, 100 g","Hanuta Hazelnut Slice, (10x22 g), 220 g",Chocolate,Chocolate,7,0.0013125820363772737,0.10144927536231885,0.09859154929577464,7.62012655644009
2026-03-13,2023-01-01,6585eca511f9a50564c75a1cdad39f11,a3806fd23a15f2b63d29611829f45705,"Ritter Sport Chocolate Wafer, 100 g","Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Chocolate,Other Confectionary,33,0.006187886742921433,0.4782608695652174,0.019434628975265017,1.5020996568853382
2026-03-13,2023-01-01,6585eca511f9a50564c75a1cdad39f11,be05d49218959bd5715a259f53a01050,"Ritter Sport Chocolate Wafer, 100 g","Yogurette Strawberry Yogurt Chocolate, 100 g",Chocolate,Chocolate,9,0.001687605475342209,0.13043478260869565,0.08411214953271028,6.501015847216578
2026-03-13,2023-01-01,684422c7ee096676b7ccbea457e903db,a3806fd23a15f2b63d29611829f45705,"Griesson Soft Cake biscuits, cherry, 300 g","Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Cookies,Other Confectionary,6,0.001125070316894806,0.3,0.0035335689045936395,0.9422261484098939
2026-03-13,2023-01-01,6ff49dc4ff8f064bf60a6881a23b9afb,73564c12b0bb512fd69348d87c81a352,"Chio Tortillas Original Salted, 110 g","Chio Dip Hot Cheese, 200 ml",Crisp & Snacks,"Cheese Crackers, Breadsticks & Dipping",8,0.0015000937558597412,0.0784313725490196,0.08247422680412371,4.312108348494037
2026-03-13,2023-01-01,6ff49dc4ff8f064bf60a6881a23b9afb,f1fb9bf890e7a8f8dd88a276a1ef6f76,"Chio Tortillas Original Salted, 110 g","Fuego salsa dip, mild, 200 ml",Crisp & Snacks,"Cheese Crackers, Breadsticks & Dipping",10,0.0018751171948246765,0.09803921568627451,0.024390243902439025,1.2752271640363462
2026-03-13,2023-01-01,6ff49dc4ff8f064bf60a6881a23b9afb,f5bc16319f5cd56166c6ed4f5eb1b433,"Chio Tortillas Original Salted, 110 g","Fuego salsa dip, hot, 200 ml",Crisp & Snacks,"Cheese Crackers, Breadsticks & Dipping",5,9.375585974123383E-4,0.049019607843137254,0.045871559633027525,2.3983630149307427
2026-03-13,2023-01-01,73564c12b0bb512fd69348d87c81a352,f1fb9bf890e7a8f8dd88a276a1ef6f76,"Chio Dip Hot Cheese, 200 ml","Fuego salsa dip, mild, 200 ml","Cheese Crackers, Breadsticks & Dipping","Cheese Crackers, Breadsticks & Dipping",10,0.0018751171948246765,0.10309278350515463,0.024390243902439025,1.3409605230072918
2026-03-13,2023-01-01,74644afbb4188e6e950479ca1b0d2b03,f1fb9bf890e7a8f8dd88a276a1ef6f76,"Funny-Frisch Kettle Chips Salt & Vinegar, 120 g","Fuego salsa dip, mild, 200 ml",Crisp & Snacks,"Cheese Crackers, Breadsticks & Dipping",6,0.001125070316894806,0.06666666666666667,0.014634146341463415,0.8671544715447154
2026-03-13,2023-01-01,8473db57695c421febed464de8993f24,a3806fd23a15f2b63d29611829f45705,"Ferrero Nutella & Go, 52 g","Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Chocolate & Sweet Spreads,Other Confectionary,5,9.375585974123383E-4,0.3333333333333333,0.002944640753828033,1.04691794267766
2026-03-13,2023-01-01,8ea000fea777e44213cf112cdba4a9ca,a3806fd23a15f2b63d29611829f45705,"Hanuta Hazelnut Slice, (10x22 g), 220 g","Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Chocolate,Other Confectionary,30,0.00562535158447403,0.4225352112676056,0.0176678445229682,1.3270790822674563
2026-03-13,2023-01-01,8ea000fea777e44213cf112cdba4a9ca,be05d49218959bd5715a259f53a01050,"Hanuta Hazelnut Slice, (10x22 g), 220 g","Yogurette Strawberry Yogurt Chocolate, 100 g",Chocolate,Chocolate,16,0.0030001875117194824,0.22535211267605634,0.14953271028037382,11.231802027115966
2026-03-13,2023-01-01,8eafef6d5c9df738edada0de2643e245,a3806fd23a15f2b63d29611829f45705,"Griesson Soft Cake biscuits, orange milk, 300 g","Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Cookies,Other Confectionary,8,0.0015000937558597412,0.32,0.004711425206124852,1.0050412249705536
2026-03-13,2023-01-01,9a861b1bfff910626cc3e2a187514310,a3806fd23a15f2b63d29611829f45705,"Kinder Hippo Haselnuss, 5 Stück","Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Cookies,Other Confectionary,19,0.0035627226701668855,0.27941176470588236,0.011189634864546525,0.8775635695974503
2026-03-13,2023-01-01,9a861b1bfff910626cc3e2a187514310,be05d49218959bd5715a259f53a01050,"Kinder Hippo Haselnuss, 5 Stück","Yogurette Strawberry Yogurt Chocolate, 100 g",Cookies,Chocolate,6,0.001125070316894806,0.08823529411764706,0.056074766355140186,4.397746014293568
2026-03-13,2023-01-01,9aefdd3b1039342516c1f9a779606b38,f1fb9bf890e7a8f8dd88a276a1ef6f76,"Crunchips Cheese & Onion Crisps, 150 g","Fuego salsa dip, mild, 200 ml",Crisp & Snacks,"Cheese Crackers, Breadsticks & Dipping",9,0.001687605475342209,0.0891089108910891,0.02195121951219512,1.1590678580053126
2026-03-13,2023-01-01,9c0ec40485b5dbaa470c56af1414766f,9c17a86b480f44df78ca14aa93eaf3d6,"Ritter Sport Honey-Salt-Almond Chocolate, 100 g","Ferrero Kinder Riegel Chocolate Bar, (10x21 g), 210 g",Chocolate,Chocolate,5,9.375585974123383E-4,0.07936507936507936,0.058823529411764705,4.979458450046685
2026-03-13,2023-01-01,9c0ec40485b5dbaa470c56af1414766f,a3806fd23a15f2b63d29611829f45705,"Ritter Sport Honey-Salt-Almond Chocolate, 100 g","Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Chocolate,Other Confectionary,29,0.005437839864991562,0.4603174603174603,0.01707891637220259,1.4457438256024828
2026-03-13,2023-01-01,9c0ec40485b5dbaa470c56af1414766f,be05d49218959bd5715a259f53a01050,"Ritter Sport Honey-Salt-Almond Chocolate, 100 g","Yogurette Strawberry Yogurt Chocolate, 100 g",Chocolate,Chocolate,6,0.001125070316894806,0.09523809523809523,0.056074766355140186,4.746773475745438
2026-03-13,2023-01-01,9c17a86b480f44df78ca14aa93eaf3d6,a3806fd23a15f2b63d29611829f45705,"Ferrero Kinder Riegel Chocolate Bar, (10x21 g), 210 g","Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Chocolate,Other Confectionary,22,0.0041252578286142885,0.25882352941176473,0.012956419316843345,0.8129009907850067
2026-03-13,2023-01-01,9c17a86b480f44df78ca14aa93eaf3d6,d9eb97d68f2e1b7025d8fa63cd5d677d,"Ferrero Kinder Riegel Chocolate Bar, (10x21 g), 210 g","Ferrero Kinder Country Chocolate Bar, (9x23,5 g), 211,5 g",Chocolate,Chocolate,8,0.0015000937558597412,0.09411764705882353,0.05063291139240506,3.1767684288905436
2026-03-13,2023-01-01,a3806fd23a15f2b63d29611829f45705,b290e64770d84b9a459cf67d1ec660dc,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g","Cadbury Milk Caramel Chocolate, 180 g",Other Confectionary,Chocolate,18,0.003375210950684418,0.01060070671378092,0.34615384615384615,1.0871840173960317
2026-03-13,2023-01-01,a3806fd23a15f2b63d29611829f45705,bdd8cad9c8bc2a06af9075c7db51fb58,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g","Tony’s Chocolonely Milk Chocolate, 32%, 180 g",Other Confectionary,Chocolate,19,0.0035627226701668855,0.011189634864546525,0.4523809523809524,1.4208172079196815
2026-03-13,2023-01-01,a3806fd23a15f2b63d29611829f45705,be05d49218959bd5715a259f53a01050,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g","Yogurette Strawberry Yogurt Chocolate, 100 g",Other Confectionary,Chocolate,50,0.009375585974123383,0.02944640753828033,0.4672897196261682,1.467641975716346
2026-03-13,2023-01-01,a3806fd23a15f2b63d29611829f45705,c3003f264ea06d2c2cb637cbdebf3a02,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g","Storck Riesen Chocolate Toffees, 231 g",Other Confectionary,"Toffee, Fudge & Nougat",5,9.375585974123383E-4,0.002944640753828033,0.8333333333333334,2.61729485669415
2026-03-13,2023-01-01,a3806fd23a15f2b63d29611829f45705,d782f40e90edafe11ce5440e3040a92b,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g","Alnavit Chocolate Cookies, 125 g",Other Confectionary,Cookies,12,0.002250140633789612,0.007067137809187279,0.2608695652173913,0.819327085573821
2026-03-13,2023-01-01,a3806fd23a15f2b63d29611829f45705,d9eb97d68f2e1b7025d8fa63cd5d677d,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g","Ferrero Kinder Country Chocolate Bar, (9x23,5 g), 211,5 g",Other Confectionary,Chocolate,51,0.009563097693605851,0.030035335689045935,0.3227848101265823,1.013787628035962
2026-03-13,2023-01-01,a3806fd23a15f2b63d29611829f45705,ec4310b3ac3c141ffda444a5d4e8fd1c,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g","Ferrero Nutella Nut Nougat Cream, 750 g",Other Confectionary,Chocolate & Sweet Spreads,8,0.0015000937558597412,0.004711425206124852,0.26666666666666666,0.837534354142128
2026-03-13,2023-01-01,a3806fd23a15f2b63d29611829f45705,ef22bcba6a83ba84b2858b9789b80c9e,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g","Ritter Sport Chocolate White Whole Nut, 100 g",Other Confectionary,Chocolate,14,0.0026251640727545473,0.008244994110718492,0.22580645161290322,0.7092024772977696
